_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,county
48900,48300,48100,48100,47900,47760,47530,47030,46740,46480,Stephenson
128500,128400,129100,128900,129500,129640,130480,131220,131390,133240,Tazewell
18300,18200,18300,18400,18400,18310,18320,18260,18170,18130,Union
83800,83200,82800,82200,82100,81880,81770,80830,80220,79170,Vermilion
12900,12800,12700,12700,12600,12520,12440,12270,12180,11960,Wabash
18700,18400,18300,18100,17600,17390,17320,17200,16960,16860,Warren
15200,15200,15100,15100,15100,14810,14820,14610,14560,14300,Washington
17100,17000,17000,16900,16800,16610,16490,16500,16430,16100,Wayne
15400,15400,15300,15100,15200,15320,15230,14960,14970,14780,White
60700,60400,60300,59700,59700,60050,60030,59500,59400,58960,Whiteside
508200,536900,565200,594400,622100,641420,666680,679520,688480,695860,Will
61300,61900,62400,62600,63200,63450,63350,64620,65130,66060,Williamson
278800,279700,282400,284700,286300,286980,290650,294220,295400,293750,Winnebago
35500,35700,36100,36400,36900,37550,37990,38280,38680,39170,Woodford
